score,sig,desc,a,lvl_a,b,lvl_b
0.607,0.838,0.261,Speak with Animals,1,Bless,1
0.607,0.789,0.333,Enlarge/Reduce,2,Remove Curse,3
0.607,0.944,0.100,Prayer of Healing,2,Mass Cure Wounds,5
0.607,0.947,0.095,Barkskin,2,Grant Flight,3
0.607,0.893,0.176,Cone of Cold,5,Lightning Bolt,3
0.606,0.868,0.214,Animal Friendship,1,Dominate Beast,4
0.606,0.868,0.214,Command,1,Tasha's Hideous Laughter,1
0.606,0.899,0.167,Animate Dead,3,Enhance Ability,2
0.605,0.868,0.211,Barkskin,2,Longstrider,1
0.605,0.938,0.105,Sacred Flame,0,Vicious Mockery,0
0.605,0.865,0.214,Mage Armour,1,Protection from Energy,3
0.604,0.817,0.286,Elemental Weapon,3,Find Familiar,1
0.604,0.849,0.235,Speak with Animals,1,Guidance,0
0.604,0.822,0.276,Circle of Death,6,Inflict Wounds,1
0.604,0.876,0.195,Ice Storm,4,Cone of Cold,5
0.604,0.771,0.353,Scorching Ray,2,Burning Hands,1
0.604,0.868,0.207,Fireball,3,Thunderwave,1
0.603,0.839,0.250,Blinding Smite,3,Staggering Smite,4
0.603,0.857,0.222,Hellish Rebuke,1,Wall of Ice,6
0.603,0.857,0.222,Conjure Elemental,5,Haste,3
0.603,0.857,0.222,Conjure Minor Elemental,4,Revivify,3
0.603,0.815,0.286,Resistance,0,Warding Bond,2
0.603,0.889,0.174,Guidance,0,Protection from Energy,3
0.603,0.765,0.359,Fire Shield,4,Protection from Energy,3
0.603,0.827,0.267,Beacon of Hope,3,Thaumaturgy,0
0.603,0.862,0.213,Crown of Madness,2,Dominate Person,5
0.602,0.837,0.250,Greater Restoration,5,Heal,6
0.602,0.826,0.267,Chromatic Orb,1,Scorching Ray,2
0.602,0.912,0.138,Elemental Weapon,3,Wall of Stone,5
0.602,0.718,0.429,Thaumaturgy,0,True Strike,0
0.602,0.925,0.118,Poison Spray,0,Vicious Mockery,0
0.602,0.895,0.162,Charm Person,1,Hold Person,2
0.602,0.865,0.207,Fog Cloud,1,Plant Growth,3
0.601,0.842,0.240,Armour of Agathys,1,Speak with Animals,1
0.601,0.868,0.200,Mage Armour,1,Resistance,0
0.601,0.849,0.229,Tasha's Hideous Laughter,1,Phantasmal Killer,4
0.601,0.880,0.182,Wind Walk,6,Haste,3
0.600,0.912,0.133,Animate Dead,3,Conjure Minor Elemental,4
0.600,0.889,0.167,Circle of Death,6,Dissonant Whispers,1
0.600,0.889,0.167,Darkvision,2,Seeming,5
0.600,0.846,0.231,Heroism,1,Mage Armour,1
0.600,0.933,0.100,Resistance,0,Stoneskin,4
0.600,0.907,0.138,Circle of Death,6,Harm,6
0.599,0.885,0.171,Charm Person,1,Hold Monster,5
0.599,0.907,0.138,Barkskin,2,Haste,3
0.599,0.877,0.182,Darkvision,2,Enhance Ability,2
0.599,0.877,0.182,Elemental Weapon,3,Stoneskin,4
0.599,0.887,0.167,Command,1,Hold Person,2
0.599,0.831,0.250,Stinking Cloud,3,Wall of Thorns,6
0.598,0.848,0.222,Animate Dead,3,Knock,2
0.598,0.860,0.205,Charm Person,1,Crown of Madness,2
0.597,0.805,0.286,Bless,1,Colour Spray,1
0.597,0.868,0.190,Guidance,0,Heroism,1
0.597,0.857,0.207,Conjure Minor Elemental,4,Elemental Weapon,3
0.597,0.868,0.190,Charm Person,1,Dominate Person,5
0.597,0.759,0.353,Friends,0,True Strike,0
0.597,0.877,0.176,Grease,1,Plant Growth,3
0.597,0.846,0.222,Bless,1,Sleep,1
0.597,0.883,0.167,Heal,6,Remove Curse,3
0.596,0.865,0.194,Bless,1,Enhance Ability,2
0.596,0.771,0.333,Lesser Restoration,2,Protection from Energy,3
0.596,0.853,0.211,Otiluke's Freezing Sphere,6,Protection from Energy,3
0.596,0.860,0.200,Flame Strike,5,Thunderwave,1
0.596,0.400,0.889,Banishing Smite,5,Banishment,4
0.595,0.850,0.213,Feign Death,3,Gaseous Form,3
0.595,0.725,0.400,Dancing Lights,0,Enhance Leap,1
0.595,0.877,0.171,Enhance Ability,2,Haste,3
0.595,0.574,0.625,Ray of Frost,0,Longstrider,1
0.595,0.853,0.207,Glyph of Warding,3,Wall of Stone,5
0.594,0.800,0.286,Greater Restoration,5,Protection from Energy,3
0.594,0.872,0.178,Death Ward,4,Stoneskin,4
0.594,0.833,0.235,Animate Dead,3,Entangle,1
0.594,0.849,0.211,Barkskin,2,Seeming,5
0.594,0.849,0.211,Cure Wounds,1,Remove Curse,3
0.593,0.822,0.250,Otiluke's Freezing Sphere,6,Spike Growth,2
0.593,0.753,0.353,Enlarge/Reduce,2,Resistance,0
0.593,0.893,0.143,Bane,1,Command,1
0.593,0.874,0.171,Bane,1,Phantasmal Killer,4
0.593,0.831,0.235,Heal,6,Healing Word,1
0.593,0.937,0.077,Evard's Black Tentacles,4,Entangle,1
0.593,0.845,0.214,Conjure Elemental,5,Grant Flight,3
0.593,0.835,0.229,Death Ward,4,Mage Armour,1
0.593,0.793,0.292,Melf's Acid Arrow,2,Witch Bolt,1
0.592,0.849,0.207,Darkvision,2,Remove Curse,3
0.592,0.857,0.195,Hold Monster,5,Phantasmal Killer,4
0.592,0.833,0.231,Blade Ward,0,Protection from Energy,3
0.592,0.827,0.240,Thunderous Smite,1,Staggering Smite,4
0.592,0.796,0.286,Circle of Death,6,Ice Storm,4
0.592,0.876,0.167,Searing Smite,1,Wrathful Smite,1
0.592,0.846,0.211,Tasha's Hideous Laughter,1,Polymorph,4
0.592,0.857,0.194,Darkness,2,Entangle,1
0.592,0.865,0.182,False Life,1,Speak with Animals,1
0.592,0.865,0.182,Darkvision,2,Resistance,0
0.591,0.795,0.286,Entangle,1,Wall of Thorns,6
0.591,0.880,0.158,Elemental Weapon,3,Enlarge/Reduce,2
0.591,0.831,0.231,Blinding Smite,3,Searing Smite,1
0.591,0.842,0.214,See Invisibility,2,Darkvision,2
0.591,0.763,0.333,Blight,4,Shatter,2
0.591,0.738,0.370,Acid Splash,0,Lightning Bolt,3
0.591,0.868,0.174,Elemental Weapon,3,Gaseous Form,3
0.590,0.895,0.133,Tasha's Hideous Laughter,1,Hold Monster,5
0.590,0.842,0.213,Spirit Guardians,3,Spike Growth,2
0.590,0.877,0.160,Grant Flight,3,Protection from Energy,3
0.590,0.733,0.375,Invisibility,2,Protection from Poison,2
0.590,0.820,0.245,Melf's Acid Arrow,2,Chromatic Orb,1
0.590,0.909,0.111,Heroism,1,Stoneskin,4
0.590,0.821,0.244,Destructive Wave,5,Otiluke's Freezing Sphere,6
0.590,0.778,0.308,Healing Word,1,Dimension Door,4
0.590,0.849,0.200,Blade Ward,0,Speak with Animals,1
0.590,0.830,0.229,Compelled Duel,1,Crown of Madness,2
0.590,0.865,0.176,Elemental Weapon,3,Heroism,1
0.589,0.816,0.250,Shield,1,Shield of Faith,1
0.589,0.816,0.250,Shield,1,Shield of Faith,1
0.589,0.816,0.250,Shield,1,Shield of Faith,1
0.589,0.869,0.170,Bestow Curse,3,Blindness,2
0.589,0.857,0.188,Dominate Person,5,Polymorph,4
0.589,0.838,0.216,Feign Death,3,Protection from Energy,3
0.589,0.771,0.316,Prayer of Healing,2,Misty Step,2
0.589,0.822,0.240,Speak with Animals,1,Darkvision,2
0.589,0.759,0.333,Dancing Lights,0,Longstrider,1
0.589,0.759,0.333,Longstrider,1,Shield of Faith,1
0.589,0.771,0.316,Evard's Black Tentacles,4,Blade Barrier,6
0.589,0.833,0.222,False Life,1,Thaumaturgy,0
0.589,0.860,0.182,Animal Friendship,1,Blindness,2
0.589,0.857,0.186,Shield,1,Glyph of Warding,3
0.589,0.857,0.186,Shield,1,Glyph of Warding,3
0.589,0.857,0.186,Shield,1,Glyph of Warding,3
0.589,0.773,0.312,Wall of Ice,6,Lightning Bolt,3
0.589,0.860,0.182,Phantasmal Killer,4,Planar Binding,5
0.588,0.827,0.231,Heroism,1,Remove Curse,3
0.588,0.824,0.235,Destructive Wave,5,Wall of Ice,6
0.588,0.853,0.190,See Invisibility,2,Speak with Animals,1
0.588,0.790,0.286,Branding Smite,2,Thunderous Smite,1
0.588,0.912,0.103,Conjure Elemental,5,Glyph of Warding,3
0.588,0.887,0.140,Dominate Person,5,Hold Monster,5
0.588,0.877,0.154,Burning Hands,1,Cone of Cold,5
0.587,0.827,0.229,Feign Death,3,Remove Curse,3
0.587,0.842,0.205,Feign Death,3,Resistance,0
0.587,0.872,0.160,Mass Cure Wounds,5,Heal,6
0.587,0.827,0.227,Bestow Curse,3,Tasha's Hideous Laughter,1
0.587,0.845,0.200,Animate Dead,3,Stinking Cloud,3
0.587,0.857,0.182,Mass Cure Wounds,5,Wall of Stone,5
0.587,0.756,0.333,Eyes of the Dark: Darkness,2,Fog Cloud,1
0.587,0.827,0.227,Chromatic Orb,1,Otiluke's Freezing Sphere,6
0.587,0.807,0.256,Ice Storm,4,Lightning Bolt,3
0.587,0.871,0.160,Bane,1,Compelled Duel,1
0.587,0.882,0.143,Disguise Self,1,Elemental Weapon,3
0.586,0.811,0.250,Barkskin,2,Remove Curse,3
0.586,0.811,0.250,Friends,0,Enhance Leap,1
0.586,0.872,0.158,Spike Growth,2,Stinking Cloud,3
0.586,0.790,0.280,Haste,3,Warding Bond,2
0.586,0.865,0.167,Circle of Death,6,Flame Strike,5
0.586,0.865,0.167,Darkvision,2,Guidance,0
0.585,0.857,0.178,Feign Death,3,Stoneskin,4
0.585,0.842,0.200,Detect Thoughts,2,Darkvision,2
0.585,0.842,0.200,Feign Death,3,Haste,3
0.585,0.842,0.200,Blade Barrier,6,Wall of Stone,5
0.585,0.916,0.089,Dominate Person,5,Hold Person,2
0.585,0.868,0.160,Barkskin,2,Bless,1
0.585,0.857,0.176,Hellish Rebuke,1,Otiluke's Freezing Sphere,6
0.585,0.857,0.176,Compelled Duel,1,Planar Binding,5
0.585,0.857,0.176,Conjure Elemental,5,Darkvision,2
0.585,0.886,0.133,Blur,2,Thaumaturgy,0
0.585,0.769,0.308,Create Undead,6,Find Familiar,1
0.585,0.829,0.217,Chromatic Orb,1,Spike Growth,2
0.585,0.727,0.370,Bestow Curse,3,Hex,1
0.584,0.790,0.276,Globe of Invulnerability,6,Protection from Energy,3
0.584,0.800,0.261,Grasping Vine,4,Stinking Cloud,3
0.584,0.868,0.158,Charm Person,1,Dominate Beast,4
0.584,0.857,0.174,Animal Friendship,1,Command,1
0.584,0.857,0.174,Conjure Minor Elemental,4,Protection from Energy,3
0.584,0.783,0.286,Counterspell,3,Colour Spray,1
0.584,0.857,0.174,Grant Flight,3,Heroism,1
0.584,0.830,0.214,Animal Friendship,1,Confusion,4
0.584,0.767,0.308,Guidance,0,Magic Weapon,2
0.583,0.811,0.242,Hellish Rebuke,1,Hex,1
0.583,0.912,0.091,Animate Dead,3,Protection from Energy,3
0.583,0.845,0.190,Stinking Cloud,3,Wall of Stone,5
0.583,0.832,0.211,Blindness,2,Phantasmal Killer,4
0.583,0.911,0.091,Death Ward,4,Feign Death,3
0.583,0.819,0.229,Inflict Wounds,1,Spike Growth,2
0.583,0.831,0.211,Create or Destroy Water,1,Entangle,1
0.583,0.742,0.345,Greater Restoration,5,Protection from Poison,2
0.583,0.838,0.200,Charm Person,1,Phantasmal Killer,4
0.583,0.833,0.207,Elemental Weapon,3,Guidance,0
0.583,0.930,0.062,Enhance Ability,2,Protection from Energy,3
0.583,0.842,0.194,Haste,3,Mage Armour,1
0.583,0.842,0.194,Longstrider,1,Stoneskin,4
0.583,0.860,0.167,Dominate Person,5,Phantasmal Killer,4
0.583,0.863,0.162,Dissonant Whispers,1,Shatter,2
0.582,0.759,0.318,Circle of Death,6,Spike Growth,2
0.582,0.923,0.071,Stinking Cloud,3,Web,2
0.582,0.857,0.170,Hex,1,Spike Growth,2
0.582,0.849,0.182,Hellish Rebuke,1,Spirit Guardians,3
0.582,0.849,0.182,Bless,1,Seeming,5
0.582,0.892,0.118,Darkvision,2,Haste,3
0.582,0.854,0.174,Animal Friendship,1,Hypnotic Pattern,3
0.582,0.790,0.270,Pass Without Trace,2,Resistance,0
0.582,0.790,0.270,Silence,2,Stoneskin,4
0.582,0.808,0.244,Disintegrate,6,Cone of Cold,5
0.582,0.822,0.222,Friends,0,Longstrider,1
0.582,0.816,0.231,Stinking Cloud,3,Wall of Fire,4
0.582,0.852,0.176,Crown of Madness,2,Tasha's Hideous Laughter,1
0.581,0.831,0.207,Enhance Leap,1,Stoneskin,4
0.581,0.842,0.190,Guidance,0,Mage Armour,1
0.581,0.923,0.069,Evard's Black Tentacles,4,Stinking Cloud,3
0.581,0.886,0.125,Planar Ally,6,Seeming,5
0.581,0.880,0.133,Enhance Ability,2,Heroism,1
0.581,0.778,0.286,Magic Missile,1,Scorching Ray,2
0.581,0.778,0.286,Conjure Minor Elemental,4,Cure Wounds,1
0.581,0.857,0.167,Barkskin,2,Heroism,1
0.581,0.857,0.167,Darkvision,2,Wall of Stone,5
0.581,0.604,0.545,Flame Blade,2,Produce Flame,0
0.581,0.879,0.133,Disguise Self,1,Wall of Stone,5
0.581,0.879,0.133,Animate Dead,3,Otiluke's Freezing Sphere,6
0.581,0.879,0.133,Animate Dead,3,Wall of Stone,5
0.581,0.897,0.105,Entangle,1,Fog Cloud,1
0.581,0.841,0.190,Disguise Self,1,Find Familiar,1
0.580,0.865,0.154,Guidance,0,Haste,3
0.580,0.795,0.258,Destructive Wave,5,Wall of Fire,4
0.580,0.815,0.229,Bless,1,Otto's Irresistible Dance,6
0.580,0.827,0.211,Animate Dead,3,Create Undead,6
0.580,0.849,0.176,Evard's Black Tentacles,4,Conjure Elemental,5
0.580,0.759,0.312,Bless,1,Magic Weapon,2
0.580,0.895,0.108,Bless,1,Stoneskin,4
0.580,0.829,0.205,Protection from Poison,2,Stoneskin,4
0.579,0.744,0.333,Otto's Irresistible Dance,6,Protection from Energy,3
0.579,0.882,0.125,Seeming,5,Wall of Stone,5
0.579,0.885,0.121,Bane,1,Dominate Beast,4
0.579,0.817,0.222,Hunger of Hadar,3,Silence,2
0.579,0.825,0.211,Gaseous Form,3,Heroism,1
0.579,0.863,0.154,Arms of Hadar,1,Circle of Death,6
0.579,0.899,0.100,Spirit Guardians,3,Conjure Elemental,5
0.579,0.817,0.222,Blur,2,Friends,0
0.579,0.817,0.222,Enhance Ability,2,Revivify,3
0.579,0.840,0.188,Blindness,2,Charm Person,1
0.579,0.895,0.105,Darkvision,2,Feign Death,3
0.579,0.865,0.149,Bestow Curse,3,Phantasmal Force,2
0.578,0.734,0.345,Blur,2,Otto's Irresistible Dance,6
0.578,0.773,0.286,Cure Wounds,1,Longstrider,1
0.578,0.830,0.200,Banishment,4,Flesh to Stone,6
0.578,0.821,0.214,Barkskin,2,Enlarge/Reduce,2
0.578,0.823,0.211,Blinding Smite,3,Thunderous Smite,1
0.578,0.838,0.188,Glyph of Warding,3,Wall of Thorns,6
0.578,0.860,0.154,Blindness,2,Flesh to Stone,6
0.577,0.897,0.098,Darkvision,2,Gaseous Form,3
0.577,0.846,0.174,Command,1,Polymorph,4
0.577,0.928,0.051,Circle of Death,6,Shatter,2
0.577,0.901,0.091,Find Familiar,1,Planar Ally,6
0.577,0.732,0.345,Invisibility,2,Remove Curse,3
0.577,0.795,0.250,Barkskin,2,Sleep,1
0.577,0.853,0.162,Death Ward,4,Protection from Energy,3
0.577,0.821,0.211,Destructive Wave,5,Shatter,2
0.577,0.891,0.105,Charm Person,1,Slow,3
0.577,0.756,0.308,Create or Destroy Water,1,Sleet Storm,3
0.577,0.854,0.160,Hold Monster,5,Polymorph,4
0.576,0.832,0.194,Blindness,2,Command,1
0.576,0.780,0.270,Chromatic Orb,1,Wall of Ice,6
0.576,0.846,0.171,Feign Death,3,Heroism,1
0.576,0.849,0.167,Bless,1,Friends,0
0.576,0.868,0.138,Darkvision,2,Heroism,1
0.576,0.833,0.190,Cure Wounds,1,Protection from Energy,3
0.576,0.914,0.069,Glyph of Warding,3,Planar Ally,6
0.576,0.827,0.200,Conjure Woodland Being,4,Flaming Sphere,2
0.576,0.841,0.179,Dominate Beast,4,Phantasmal Force,2
0.576,0.800,0.240,Arms of Hadar,1,Cone of Cold,5
0.576,0.902,0.087,Bane,1,Flesh to Stone,6
0.576,0.904,0.083,Fireball,3,Burning Hands,1
0.576,0.860,0.150,Crown of Madness,2,Hold Monster,5
0.576,0.842,0.176,Darkness,2,Stinking Cloud,3
0.576,0.812,0.222,Speak with Animals,1,Conjure Elemental,5
0.576,0.857,0.154,Death Ward,4,Resistance,0
0.576,0.811,0.222,Circle of Death,6,Burning Hands,1
0.576,0.806,0.231,Speak with Animals,1,Enhance Ability,2
0.576,0.912,0.071,Animate Dead,3,Elemental Weapon,3
0.576,0.912,0.071,Animate Dead,3,Glyph of Warding,3
0.576,0.879,0.121,Dominate Beast,4,Tasha's Hideous Laughter,1
0.576,0.879,0.121,Tasha's Hideous Laughter,1,Planar Binding,5
0.575,0.841,0.178,Spirit Guardians,3,Otiluke's Freezing Sphere,6
0.575,0.737,0.333,Cure Wounds,1,Enhance Leap,1
0.575,0.805,0.231,See Invisibility,2,Bless,1
0.575,0.815,0.216,Melf's Acid Arrow,2,Scorching Ray,2
0.575,0.874,0.128,Bane,1,Phantasmal Force,2
0.575,0.878,0.121,Chromatic Orb,1,Magic Missile,1
0.575,0.892,0.100,Blink,3,Grant Flight,3
