spell,level,school,family,family_icon,tier,purpose,classes,in_bg3
Charm Person,1,Enchantment,,,,Disables,Bard/Druid/Sorcerer/Warlock/Wizard,yes
Color Spray,1,Illusion,The Hit-Point Pool Engine,🧮,Shared template,Disables,Sorcerer/Wizard,yes
Command,1,Enchantment,,,,Disables,Cleric/Paladin,yes
Comprehend Languages,1,Divination,,,,Information,Bard/Sorcerer/Warlock/Wizard,yes
Create or Destroy Water,1,Transmutation,,,,Provisioning,Cleric/Druid,
Cure Wounds,1,Evocation,The Cure Family,❤️‍🩹,Verbatim clone,Healing & revival,Bard/Cleric/Druid/Paladin/Ranger,yes
Detect Evil and Good,1,Divination,The Detect Series,👁️,Shared template,Information,Cleric/Paladin,yes
Detect Magic,1,Divination,The Detect Series,👁️,Shared template,Information,Bard/Cleric/Druid/Paladin/Ranger/Sorcerer/Wizard,
Detect Poison and Disease,1,Divination,The Detect Series,👁️,Shared template,Information,Cleric/Druid/Paladin/Ranger,
Disguise Self,1,Illusion,The Disguise Ladder,🎭,Shared template,Deception & stealth,Bard/Sorcerer/Wizard,yes
Divine Favor,1,Evocation,,,,Damage,Paladin,yes
Entangle,1,Conjuration,,,,Zone control,Druid,yes
Expeditious Retreat,1,Transmutation,,,,Mobility,Sorcerer/Warlock/Wizard,yes
Faerie Fire,1,Evocation,,,,Deception & stealth,Druid,yes
False Life,1,Necromancy,,,,Healing & revival,Sorcerer/Wizard,yes
Feather Fall,1,Transmutation,,,,Disables,Bard/Sorcerer/Wizard,yes
Find Familiar,1,Conjuration,,,,Creating entities,Wizard,yes
Floating Disk,1,Conjuration,,,,Utility & world,Wizard,
Fog Cloud,1,Conjuration,,,,Utility & world,Druid/Ranger/Sorcerer/Wizard,yes
Goodberry,1,Transmutation,,,,Provisioning,Druid/Ranger,yes
Grease,1,Conjuration,,,,Zone control,Wizard,yes
Guiding Bolt,1,Evocation,,,,Damage,Cleric,yes
Healing Word,1,Evocation,The Cure Family,❤️‍🩹,Verbatim clone,Healing & revival,Bard/Cleric/Druid,yes
Hellish Rebuke,1,Evocation,The Elemental Blast Template,💥,Shared template,Damage,Warlock,yes
Heroism,1,Enchantment,,,,Utility & world,Bard/Paladin,yes
Hideous Laughter,1,Enchantment,,,,Disables,Bard/Wizard,yes
Hunter's Mark,1,Divination,,,,Damage,Ranger,yes
Identify,1,Divination,,,,Information,Bard/Wizard,yes
Illusory Script,1,Illusion,,,,Negation,Bard/Warlock/Wizard,
Inflict Wounds,1,Necromancy,,,,Damage,Cleric,yes
Jump,1,Transmutation,,,,Mobility,Druid/Ranger/Sorcerer/Wizard,yes
Longstrider,1,Transmutation,The Touch-Buff Skeleton,🤝,Shared engine,Mobility,Bard/Druid/Ranger/Wizard,yes
Mage Armor,1,Abjuration,,,,Utility & world,Sorcerer/Wizard,yes
Magic Missile,1,Evocation,,,,Damage,Sorcerer/Wizard,yes
Protection from Evil and Good,1,Abjuration,The Protection Series,🛡️,Shared engine,Defense boost,Cleric/Paladin/Warlock/Wizard,yes
Purify Food and Drink,1,Transmutation,,,,Negation,Cleric/Druid/Paladin,
Sanctuary,1,Abjuration,,,,Defense boost,Cleric,yes
Shield,1,Abjuration,,,,Zone control,Sorcerer/Wizard,yes
Shield of Faith,1,Abjuration,,,,Defense boost,Cleric/Paladin,yes
Silent Image,1,Illusion,The Image Ladder,🖼️,Shared template,Deception & stealth,Bard/Sorcerer/Wizard,
Sleep,1,Enchantment,The Hit-Point Pool Engine,🧮,Shared template,Disables,Bard/Sorcerer/Wizard,yes
Speak with Animals,1,Divination,The Speak-With Series,🗣️,Shared engine,Information,Bard/Druid/Ranger,yes
Thunderwave,1,Evocation,,,,Damage,Bard/Druid/Sorcerer/Wizard,yes
Unseen Servant,1,Conjuration,The Phantom Armory,⚔️,Shared engine,Creating entities,Bard/Warlock/Wizard,
Acid Arrow,2,Evocation,,,,Damage,Wizard,yes
Aid,2,Abjuration,,,,Defense boost,Cleric/Paladin,yes
Alter Self,2,Transmutation,,,,Role shift,Sorcerer/Wizard,
Animal Messenger,2,Enchantment,,,,Defense boost,Bard/Druid/Ranger,
Arcane Lock,2,Abjuration,,,,Negation,Wizard,yes
Arcanist's Magic Aura,2,Illusion,,,,Negation,Wizard,
Augury,2,Divination,,,,Information,Cleric,
Barkskin,2,Transmutation,,,,Defense boost,Druid/Ranger,yes
Blindness/Deafness,2,Necromancy,,,,Disables,Bard/Cleric/Sorcerer/Wizard,yes
Blur,2,Illusion,,,,Degradation,Sorcerer/Wizard,yes
Branding Smite,2,Evocation,,,,Damage,Paladin,yes
Calm Emotions,2,Enchantment,,,,Disables,Bard/Cleric,yes
Continual Flame,2,Evocation,,,,Utility & world,Cleric/Wizard,
Darkness,2,Evocation,Darkness & Daylight,🌗,Shared engine,Zone control,Sorcerer/Warlock/Wizard,yes
Darkvision,2,Transmutation,The Touch-Buff Skeleton,🤝,Shared engine,Mobility,Druid/Ranger/Sorcerer/Wizard,yes
Detect Thoughts,2,Divination,,,,Zone control,Bard/Sorcerer/Wizard,yes
Enhance Ability,2,Transmutation,,,,Disables,Bard/Cleric/Druid/Sorcerer,yes
Enlarge/Reduce,2,Transmutation,,,,Damage,Sorcerer/Wizard,yes
Enthrall,2,Enchantment,,,,Disables,Bard/Warlock,yes
Find Steed,2,Conjuration,,,,Creating entities,Paladin,
Find Traps,2,Divination,,,,Information,Cleric/Druid/Ranger,
Flame Blade,2,Evocation,,,,Damage,Druid,yes
Flaming Sphere,2,Conjuration,The Phantom Armory,⚔️,Shared engine,Creating entities,Druid/Wizard,yes
Gentle Repose,2,Necromancy,,,,Defense boost,Cleric/Wizard,
Gust of Wind,2,Evocation,,,,Defense boost,Druid/Sorcerer/Wizard,yes
Heat Metal,2,Transmutation,,,,Damage,Bard/Druid,yes
Hold Person,2,Enchantment,The Hold Pair,⛓️,Verbatim clone,Disables,Bard/Cleric/Druid/Sorcerer/Warlock/Wizard,yes
Invisibility,2,Illusion,The Invisibility Ladder,🫥,Shared template,Deception & stealth,Bard/Sorcerer/Warlock/Wizard,yes
Knock,2,Transmutation,,,,Disables,Bard/Sorcerer/Wizard,yes
Lesser Restoration,2,Abjuration,,,,Disables,Bard/Cleric/Druid/Paladin/Ranger,yes
Levitate,2,Transmutation,,,,Mobility,Sorcerer/Wizard,yes
Locate Animals or Plants,2,Divination,The Locate Series,🧭,Shared template,Information,Bard/Druid/Ranger,
Locate Object,2,Divination,The Locate Series,🧭,Shared template,Information,Bard/Cleric/Druid/Paladin/Ranger/Wizard,
Magic Mouth,2,Illusion,,,,Deception & stealth,Bard/Wizard,
Magic Weapon,2,Transmutation,,,,Offense boost,Paladin/Wizard,yes
Mirror Image,2,Illusion,,,,Deception & stealth,Sorcerer/Warlock/Wizard,yes
Misty Step,2,Conjuration,,,,Mobility,Sorcerer/Warlock/Wizard,yes
Moonbeam,2,Evocation,,,,Damage,Druid,yes
Pass Without Trace,2,Abjuration,,,,Disables,Druid/Ranger,yes
Prayer of Healing,2,Evocation,The Cure Family,❤️‍🩹,Verbatim clone,Healing & revival,Cleric,yes
Protection from Poison,2,Abjuration,The Protection Series,🛡️,Shared engine,Defense boost,Cleric/Druid/Paladin/Ranger,yes
Ray of Enfeeblement,2,Necromancy,,,,Defense boost,Warlock/Wizard,
Rope Trick,2,Transmutation,,,,Deception & stealth,Wizard,
Scorching Ray,2,Evocation,,,,Damage,Sorcerer/Wizard,yes
See Invisibility,2,Divination,,,,Deception & stealth,Bard/Sorcerer/Wizard,yes
Shatter,2,Evocation,,,,Damage,Bard/Sorcerer/Warlock/Wizard,yes
Silence,2,Illusion,,,,Disables,Bard/Cleric/Ranger,yes
Spider Climb,2,Transmutation,The Touch-Buff Skeleton,🤝,Shared engine,Mobility,Sorcerer/Warlock/Wizard,
Spike Growth,2,Transmutation,,,,Deception & stealth,Druid/Ranger,yes
Spiritual Weapon,2,Evocation,The Phantom Armory,⚔️,Shared engine,Creating entities,Cleric,yes
Suggestion,2,Enchantment,The Suggestion Pair,💬,Shared template,Disables,Bard/Sorcerer/Warlock/Wizard,
Warding Bond,2,Abjuration,,,,Defense boost,Cleric,yes
Web,2,Conjuration,,,,Zone control,Sorcerer/Wizard,yes
Zone of Truth,2,Enchantment,,,,Utility & world,Bard/Cleric/Paladin,
Animate Dead,3,Necromancy,The Undead Workshop,💀,Shared template,Creating entities,Cleric/Wizard,yes
Beacon of Hope,3,Abjuration,,,,Healing & revival,Cleric,yes
Bestow Curse,3,Necromancy,,,,Negation,Bard/Cleric/Wizard,yes
Blink,3,Transmutation,,,,Mobility,Sorcerer/Wizard,yes
Call Lightning,3,Conjuration,,,,Damage,Druid,yes
Clairvoyance,3,Divination,,,,Creating entities,Bard/Cleric/Sorcerer/Wizard,
Conjure Animals,3,Conjuration,Conjure by Menu,🐾,Verbatim clone,Creating entities,Druid/Ranger,yes
Counterspell,3,Abjuration,The Dispel Engine,🧯,Shared engine,Negation,Sorcerer/Warlock/Wizard,yes
Create Food and Water,3,Conjuration,,,,Provisioning,Cleric/Druid/Paladin,
Daylight,3,Evocation,Darkness & Daylight,🌗,Shared engine,Zone control,Cleric/Druid/Paladin/Ranger/Sorcerer,yes
Dispel Magic,3,Abjuration,The Dispel Engine,🧯,Shared engine,Negation,Bard/Cleric/Druid/Paladin/Sorcerer/Warlock/Wizard,yes
Fear,3,Illusion,,,,Disables,Bard/Sorcerer/Warlock/Wizard,yes
Fireball,3,Evocation,The Elemental Blast Template,💥,Shared template,Damage,Sorcerer/Wizard,yes
Fly,3,Transmutation,The Touch-Buff Skeleton,🤝,Shared engine,Mobility,Sorcerer/Warlock/Wizard,yes
Gaseous Form,3,Transmutation,,,,Disables,Sorcerer/Warlock/Wizard,yes
Glyph of Warding,3,Abjuration,,,,Creating entities,Bard/Cleric/Wizard,yes
Haste,3,Transmutation,,,,Offense boost,Sorcerer/Wizard,yes
Hypnotic Pattern,3,Illusion,,,,Disables,Bard/Sorcerer/Warlock/Wizard,yes
Lightning Bolt,3,Evocation,The Elemental Blast Template,💥,Shared template,Damage,Sorcerer/Wizard,yes
Magic Circle,3,Abjuration,,,,Disables,Cleric/Paladin/Warlock/Wizard,yes
Major Image,3,Illusion,The Image Ladder,🖼️,Shared template,Deception & stealth,Bard/Sorcerer/Warlock/Wizard,
Mass Healing Word,3,Evocation,The Cure Family,❤️‍🩹,Verbatim clone,Healing & revival,Cleric,yes
Meld Into Stone,3,Transmutation,,,,Disables,Cleric,
Nondetection,3,Abjuration,,,,Deception & stealth,Bard/Ranger/Wizard,
Phantom Steed,3,Illusion,,,,Deception & stealth,Wizard,
Plant Growth,3,Transmutation,,,,Utility & world,Bard/Druid/Ranger,yes
Protection From Energy,3,Abjuration,The Protection Series,🛡️,Shared engine,Defense boost,Cleric/Druid/Ranger/Sorcerer/Wizard,yes
Remove Curse,3,Abjuration,,,,Negation,Cleric/Paladin/Warlock/Wizard,yes
Revivify,3,Conjuration,,,,Healing & revival,Cleric/Paladin,yes
Sending,3,Evocation,,,,Creating entities,Bard/Cleric/Wizard,
Sleet Storm,3,Conjuration,,,,Disables,Druid/Sorcerer/Wizard,yes
Slow,3,Transmutation,,,,Disables,Sorcerer/Wizard,yes
Speak with Dead,3,Necromancy,The Speak-With Series,🗣️,Shared engine,Information,Bard/Cleric,yes
Speak with Plants,3,Transmutation,The Speak-With Series,🗣️,Shared engine,Information,Bard/Druid/Ranger,
Spirit Guardians,3,Conjuration,,,,Defense boost,Cleric,yes
Stinking Cloud,3,Conjuration,,,,Utility & world,Bard/Sorcerer/Wizard,yes
Tiny Hut,3,Evocation,,,,Defense boost,Bard/Wizard,
Tongues,3,Divination,,,,Utility & world,Bard/Cleric/Sorcerer/Warlock/Wizard,
Vampiric Touch,3,Necromancy,,,,Resource warfare,Warlock/Wizard,yes
Water Breathing,3,Transmutation,The Touch-Buff Skeleton,🤝,Shared engine,Mobility,Druid/Ranger/Sorcerer/Wizard,
Water Walk,3,Transmutation,The Touch-Buff Skeleton,🤝,Shared engine,Mobility,Cleric/Druid/Ranger/Sorcerer,
Wind Wall,3,Evocation,,,,Damage,Druid/Ranger,
Arcane Eye,4,Divination,,,,Zone control,Cleric/Wizard,yes
Banishment,4,Abjuration,,,,Removing entities,Cleric/Paladin/Sorcerer/Warlock/Wizard,yes
Black Tentacles,4,Conjuration,,,,Damage,Wizard,yes
Blight,4,Necromancy,,,,Damage,Druid/Sorcerer/Warlock/Wizard,yes
Compulsion,4,Enchantment,,,,Disables,Bard,
Confusion,4,Enchantment,,,,Utility & world,Bard/Druid/Sorcerer/Wizard,yes
Conjure Minor Elementals,4,Conjuration,Conjure by Menu,🐾,Verbatim clone,Creating entities,Druid/Wizard,yes
Conjure Woodland Beings,4,Conjuration,Conjure by Menu,🐾,Verbatim clone,Creating entities,Druid/Ranger,yes
Control Water,4,Transmutation,,,,Damage,Cleric/Druid/Wizard,
Death Ward,4,Abjuration,,,,Defense boost,Cleric/Paladin,yes
Dimension Door,4,Conjuration,,,,Damage,Bard/Sorcerer/Warlock/Wizard,yes
Divination,4,Divination,,,,Information,Druid,
Dominate Beast,4,Enchantment,The Dominate Chain,🧠,Verbatim clone,Disables,Druid/Sorcerer,yes
Fabricate,4,Transmutation,,,,Role shift,Wizard,
Faithful Hound,4,Conjuration,The Phantom Armory,⚔️,Shared engine,Creating entities,Wizard,
Fire Shield,4,Evocation,,,,Damage,Wizard,yes
Freedom of Movement,4,Abjuration,,,,Disables,Bard/Cleric/Druid/Ranger,yes
Giant Insect,4,Transmutation,,,,Utility & world,Druid,yes
Greater Invisibility,4,Illusion,The Invisibility Ladder,🫥,Shared template,Deception & stealth,Bard/Sorcerer/Wizard,yes
Guardian of Faith,4,Conjuration,,,,Damage,Cleric,yes
Hallucinatory Terrain,4,Illusion,,,,Provisioning,Bard/Druid/Warlock/Wizard,
Ice Storm,4,Evocation,The Elemental Blast Template,💥,Shared template,Damage,Druid/Sorcerer/Wizard,yes
Locate Creature,4,Divination,The Locate Series,🧭,Shared template,Information,Bard/Cleric/Druid/Paladin/Ranger/Wizard,
Phantasmal Killer,4,Illusion,,,,Damage,Wizard,yes
Polymorph,4,Transmutation,The Polymorph Ladder,🐸,Shared template,Disables,Bard/Druid/Sorcerer/Wizard,yes
Private Sanctum,4,Abjuration,,,,Zone control,Wizard,
Resilient Sphere,4,Evocation,,,,Zone control,Wizard,yes
Secret Chest,4,Conjuration,,,,Deception & stealth,Wizard,
Stone Shape,4,Transmutation,,,,Utility & world,Cleric/Druid/Wizard,
Stoneskin,4,Abjuration,,,,Defense boost,Druid/Ranger/Sorcerer/Wizard,yes
Wall of Fire,4,Evocation,,,,Damage,Druid/Sorcerer/Wizard,yes
Animate Objects,5,Transmutation,,,,Disables,Bard/Sorcerer/Wizard,
Antilife Shell,5,Abjuration,,,,Zone control,Druid,
Arcane Hand,5,Evocation,The Phantom Armory,⚔️,Shared engine,Creating entities,Wizard,
Awaken,5,Transmutation,,,,Disables,Bard/Druid,
Cloudkill,5,Conjuration,,,,Damage,Sorcerer/Wizard,yes
Commune,5,Divination,,,,Deception & stealth,Cleric,
Commune With Nature,5,Divination,,,,Information,Druid/Ranger,
Cone of Cold,5,Evocation,The Elemental Blast Template,💥,Shared template,Damage,Sorcerer/Wizard,yes
Conjure Elemental,5,Conjuration,Conjure a Champion,🧞,Shared template,Creating entities,Druid/Wizard,yes
Contact Other Plane,5,Divination,,,,Deception & stealth,Warlock/Wizard,
Contagion,5,Necromancy,,,,Disables,Cleric/Druid,yes
Creation,5,Illusion,,,,Utility & world,Sorcerer/Wizard,
Dispel Evil and Good,5,Abjuration,,,,Negation,Cleric/Paladin,yes
Dominate Person,5,Enchantment,The Dominate Chain,🧠,Verbatim clone,Disables,Bard/Sorcerer/Wizard,yes
Dream,5,Illusion,,,,Damage,Bard/Warlock/Wizard,
Flame Strike,5,Evocation,The Elemental Blast Template,💥,Shared template,Damage,Cleric,yes
Geas,5,Enchantment,,,,Negation,Bard/Cleric/Druid/Paladin/Wizard,
Greater Restoration,5,Abjuration,,,,Disables,Bard/Cleric/Druid,yes
Hallow,5,Evocation,,,,Zone control,Cleric,
Hold Monster,5,Enchantment,The Hold Pair,⛓️,Verbatim clone,Disables,Bard/Sorcerer/Warlock/Wizard,yes
Insect Plague,5,Conjuration,,,,Damage,Cleric/Druid/Sorcerer,yes
Legend Lore,5,Divination,,,,Utility & world,Bard/Cleric/Wizard,
Mass Cure Wounds,5,Conjuration,The Cure Family,❤️‍🩹,Verbatim clone,Healing & revival,Bard/Cleric/Druid,yes
Mislead,5,Illusion,,,,Disables,Bard/Wizard,
Modify Memory,5,Enchantment,,,,Negation,Bard/Wizard,
Passwall,5,Transmutation,,,,Utility & world,Wizard,
Planar Binding,5,Abjuration,,,,Creating entities,Bard/Cleric/Druid/Wizard,yes
Raise Dead,5,Necromancy,,,,Healing & revival,Bard/Cleric/Paladin,
Reincarnate,5,Transmutation,,,,Healing & revival,Druid,
Scrying,5,Divination,,,,Creating entities,Bard/Cleric/Druid/Warlock/Wizard,
Seeming,5,Illusion,The Disguise Ladder,🎭,Shared template,Deception & stealth,Bard/Sorcerer/Wizard,yes
Telekinesis,5,Transmutation,,,,Disables,Sorcerer/Wizard,yes
Telepathic Bond,5,Divination,,,,Role shift,Wizard,
Teleportation Circle,5,Conjuration,,,,Mobility,Bard/Sorcerer/Wizard,
Tree Stride,5,Conjuration,,,,Utility & world,Druid/Ranger,
Wall of Force,5,Evocation,,,,Negation,Wizard,
Wall of Stone,5,Evocation,,,,Negation,Druid/Sorcerer/Wizard,yes
Blade Barrier,6,Evocation,,,,Damage,Cleric,yes
Chain Lightning,6,Evocation,,,,Damage,Sorcerer/Wizard,yes
Circle of Death,6,Necromancy,The Elemental Blast Template,💥,Shared template,Damage,Sorcerer/Warlock/Wizard,yes
Conjure Fey,6,Conjuration,Conjure a Champion,🧞,Shared template,Creating entities,Druid/Warlock,
Contingency,6,Evocation,,,,Degradation,Wizard,
Create Undead,6,Necromancy,The Undead Workshop,💀,Shared template,Creating entities,Cleric/Warlock/Wizard,yes
Disintegrate,6,Transmutation,,,,Damage,Sorcerer/Wizard,yes
Eyebite,6,Necromancy,,,,Disables,Bard/Sorcerer/Warlock/Wizard,yes
Find the Path,6,Divination,,,,Creating entities,Bard/Cleric/Druid,
Flesh to Stone,6,Transmutation,,,,Disables,Warlock/Wizard,yes
Forbiddance,6,Abjuration,,,,Negation,Cleric,
Freezing Sphere,6,Evocation,,,,Damage,Wizard,yes
Globe of Invulnerability,6,Abjuration,,,,Zone control,Sorcerer/Wizard,yes
Guards and Wards,6,Abjuration,,,,Negation,Bard/Wizard,
Harm,6,Necromancy,,,,Damage,Cleric,yes
Heal,6,Evocation,,,,Healing & revival,Cleric/Druid,yes
Heroes' Feast,6,Conjuration,,,,Utility & world,Cleric/Druid,yes
Instant Summons,6,Conjuration,,,,Negation,Wizard,
Irresistible Dance,6,Enchantment,,,,Disables,Bard/Wizard,
Magic Jar,6,Necromancy,,,,Information,Wizard,yes
Mass Suggestion,6,Enchantment,The Suggestion Pair,💬,Shared template,Disables,Bard/Sorcerer/Warlock/Wizard,
Move Earth,6,Transmutation,,,,Degradation,Druid/Sorcerer/Wizard,
Planar Ally,6,Conjuration,Conjure a Champion,🧞,Shared template,Creating entities,Cleric,yes
Programmed Illusion,6,Illusion,,,,Deception & stealth,Bard/Wizard,
Sunbeam,6,Evocation,,,,Damage,Druid/Sorcerer/Wizard,yes
Transport via Plants,6,Conjuration,,,,Role shift,Druid,
True Seeing,6,Divination,,,,Information,Bard/Cleric/Sorcerer/Warlock/Wizard,yes
Wall of Ice,6,Evocation,,,,Damage,Wizard,yes
Wall of Thorns,6,Conjuration,,,,Damage,Druid,yes
Wind Walk,6,Transmutation,,,,Disables,Druid,yes
Word of Recall,6,Conjuration,,,,Mobility,Cleric,
Arcane Sword,7,Evocation,The Phantom Armory,⚔️,Shared engine,Creating entities,Bard/Wizard,
Conjure Celestial,7,Conjuration,Conjure a Champion,🧞,Shared template,Creating entities,Cleric,
Delayed Blast Fireball,7,Evocation,,,,Damage,Sorcerer/Wizard,
Divine Word,7,Evocation,,,,Disables,Cleric,
Etherealness,7,Transmutation,,,,Damage,Bard/Cleric/Sorcerer/Warlock/Wizard,
Finger of Death,7,Necromancy,,,,Damage,Sorcerer/Warlock/Wizard,
Fire Storm,7,Evocation,,,,Damage,Cleric/Druid/Sorcerer,
Forcecage,7,Evocation,,,,Negation,Bard/Warlock/Wizard,
Magnificent Mansion,7,Conjuration,,,,Mobility,Bard/Wizard,
Mirage Arcane,7,Illusion,,,,Deception & stealth,Bard/Druid/Wizard,
Plane Shift,7,Conjuration,,,,Removing entities,Cleric/Druid/Sorcerer/Warlock/Wizard,
Prismatic Spray,7,Evocation,,,,Damage,Sorcerer/Wizard,
Project Image,7,Illusion,,,,Disables,Bard/Wizard,
Regenerate,7,Transmutation,,,,Healing & revival,Bard/Cleric/Druid,
Resurrection,7,Necromancy,,,,Healing & revival,Bard/Cleric,
Reverse Gravity,7,Transmutation,,,,Defense boost,Druid/Sorcerer/Wizard,
Sequester,7,Transmutation,,,,Deception & stealth,Wizard,
Simulacrum,7,Illusion,,,,Deception & stealth,Wizard,
Symbol,7,Abjuration,,,,Disables,Bard/Cleric/Wizard,
Teleport,7,Conjuration,,,,Creating entities,Bard/Sorcerer/Wizard,
Animal Shapes,8,Transmutation,The Polymorph Ladder,🐸,Shared template,Disables,Druid,
Antimagic Field,8,Abjuration,,,,Negation,Cleric/Wizard,
Antipathy/Sympathy,8,Enchantment,,,,Utility & world,Druid/Wizard,
Clone,8,Necromancy,,,,Deception & stealth,Wizard,
Control Weather,8,Transmutation,,,,Utility & world,Cleric/Druid/Wizard,
Demiplane,8,Conjuration,,,,Utility & world,Warlock/Wizard,
Dominate Monster,8,Enchantment,The Dominate Chain,🧠,Verbatim clone,Disables,Bard/Sorcerer/Warlock/Wizard,
Earthquake,8,Evocation,,,,Disables,Cleric/Druid/Sorcerer,
Feeblemind,8,Enchantment,,,,Damage,Bard/Druid/Warlock/Wizard,
Glibness,8,Transmutation,,,,Deception & stealth,Bard/Warlock,
Holy Aura,8,Abjuration,,,,Disables,Cleric,
Incendiary Cloud,8,Conjuration,,,,Damage,Sorcerer/Wizard,
Maze,8,Conjuration,,,,Removing entities,Wizard,
Mind Blank,8,Abjuration,,,,Disables,Bard/Wizard,
Power Word Stun,8,Enchantment,,,,Disables,Bard/Sorcerer/Warlock/Wizard,
Sunburst,8,Evocation,,,,Damage,Druid/Sorcerer/Wizard,
Astral Projection,9,Necromancy,,,,Negation,Cleric/Warlock/Wizard,
Foresight,9,Divination,,,,Degradation,Bard/Druid/Warlock/Wizard,
Gate,9,Conjuration,,,,Mobility,Cleric/Sorcerer/Wizard,
Imprisonment,9,Abjuration,,,,Negation,Warlock/Wizard,
Mass Heal,9,Conjuration,,,,Healing & revival,Cleric,yes
Meteor Swarm,9,Evocation,,,,Damage,Sorcerer/Wizard,
Power Word Kill,9,Enchantment,,,,Utility & world,Bard/Sorcerer/Warlock/Wizard,yes
Prismatic Wall,9,Abjuration,,,,Removing entities,Wizard,
Shapechange,9,Transmutation,,,,Disables,Druid/Wizard,
Storm of Vengeance,9,Conjuration,,,,Damage,Druid,
Time Stop,9,Transmutation,,,,Utility & world,Sorcerer/Wizard,
True Polymorph,9,Transmutation,The Polymorph Ladder,🐸,Shared template,Disables,Bard/Warlock/Wizard,
True Resurrection,9,Necromancy,,,,Healing & revival,Cleric/Druid,
Weird,9,Illusion,,,,Disables,Wizard,
Wish,9,Conjuration,,,,Healing & revival,Sorcerer/Wizard,
