ability,classes,level,school,ranks,family,tier,purpose
Create Spellstone,Warlock,36,Shadow,1,The Conjured Commissary,Verbatim clone,Provisioning
Dispel Magic,Priest,36,Holy,2,The Cleanse Counter,Verbatim clone,Negation
Whirlwind,Warrior,36,Physical,1,,,Damage
Blessing of Protection,Paladin,38,Holy,3,,,Disables
Conjure Mana Jade,Mage,38,Arcane,1,The Conjured Commissary,Verbatim clone,Provisioning
Curse of Idiocy,Warlock,38,Shadow,1,,,Degradation
Detect Invisibility,Warlock,38,Shadow,1,,,Information
Disease Cleansing Totem,Shaman,38,Nature,1,The Totem Foundry,Shared template,Creating entities
Mind-numbing Poison II,Rogue,38,Physical,1,The Numbered Vials,Verbatim clone,Degradation
Aspect of the Pack,Hunter,40,Nature,1,The Aspect Dial,Shared template,Role shift
Combustion,Mage,40,Fire,1,,,Damage
Create Soulstone,Warlock,40,Shadow,1,The Resurrection Union,Verbatim clone,Healing & revival
Dire Bear Form,Druid,40,Physical,1,,,Role shift
Feline Grace,Druid,40,Physical,1,,,Damage
Moonkin Form,Druid,40,Physical,1,,,Role shift
Portal: Ironforge,Mage,40,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Portal: Orgrimmar,Mage,40,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Portal: Stormwind,Mage,40,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Portal: Undercity,Mage,40,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Power Infusion,Priest,40,Holy,1,,,Offense boost
Safe Fall,Rogue,40,Physical,1,,,Damage
Summon Felsteed,Warlock,40,Shadow,1,The Menagerie,Shared template,Creating entities
Summon Warhorse,Paladin,40,Holy,1,The Menagerie,Shared template,Creating entities
Track Giants,Hunter,40,Physical,1,The Tracking Dial,Verbatim clone,Information
Cleanse,Paladin,42,Holy,1,The Cleanse Counter,Verbatim clone,Negation
Slice and Dice,Rogue,42,Physical,2,,,Utility & world
Vanish,Rogue,42,Physical,2,,,Deception & stealth
Barkskin,Druid,44,Nature,1,,,Disables
Mind Vision,Priest,44,Shadow,2,,,Information
Bash,Druid,46,Physical,3,,,Disables
Charge,Warrior,46,Physical,3,,,Provisioning
Create Firestone (Greater),Warlock,46,Fire,1,The Conjured Commissary,Verbatim clone,Provisioning
Create Healthstone (Greater),Warlock,46,Shadow,1,The Conjured Commissary,Verbatim clone,Provisioning
Dash,Druid,46,Physical,2,,,Mobility
Scare Beast,Hunter,46,Nature,3,The Fear Franchise,Shared template,Disables
Banish,Warlock,48,Shadow,2,,,Disables
Conjure Mana Citrine,Mage,48,Arcane,1,The Conjured Commissary,Verbatim clone,Provisioning
Create Spellstone (Greater),Warlock,48,Shadow,1,The Conjured Commissary,Verbatim clone,Provisioning
Disengage,Hunter,48,Physical,3,,,Utility & world
Sap,Rogue,48,Physical,3,,,Disables
Create Soulstone (Greater),Warlock,50,Shadow,1,The Resurrection Union,Verbatim clone,Healing & revival
Curse of Tongues,Warlock,50,Shadow,2,The Curse Catalogue,Shared template,Degradation
Detect Greater Invisibility,Warlock,50,Shadow,1,,,Information
Divine Shield,Paladin,50,Holy,2,,,Degradation
Inferno,Warlock,50,Shadow,1,The Menagerie,Shared template,Creating entities
Kidney Shot,Rogue,50,Physical,2,,,Disables
Lay on Hands,Paladin,50,Holy,3,,,Healing & revival
Portal: Darnassus,Mage,50,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Portal: Thunder Bluff,Mage,50,Arcane,1,The Hearth Network,Verbatim clone,Mobility
Prowl,Hunter,50,Physical,3,The Druid Costume Shop,Verbatim clone,Deception & stealth
Recklessness,Warrior,50,Physical,1,,,Disables
Track Dragonkin,Hunter,50,Physical,1,The Tracking Dial,Verbatim clone,Information
Cower,Druid,52,Physical,3,The Druid Costume Shop,Verbatim clone,Threat control
Curse of Weakness,Warlock,52,Shadow,6,The Curse Catalogue,Shared template,Degradation
Demoralizing Roar,Druid,52,Physical,5,,,Offense boost
Drain Soul,Warlock,52,Shadow,4,,,Resource warfare
Fire Nova Totem,Shaman,52,Fire,5,The Totem Foundry,Shared template,Creating entities
Intercept,Warrior,52,Physical,3,,,Disables
Mind Soothe,Priest,52,Shadow,3,,,Degradation
Mind-numbing Poison III,Rogue,52,Physical,1,The Numbered Vials,Verbatim clone,Degradation
Scorpid Sting,Hunter,52,Nature,4,The Sting Clip,Verbatim clone,Degradation
Seal of the Crusader,Paladin,52,Holy,6,The Seal Press,Shared template,Offense boost
Shadow Resistance Aura,Paladin,52,Holy,3,The Status Boost Rack,Shared template,Defense boost
Shield Bash,Warrior,52,Physical,3,The Interrupt Union,Verbatim clone,Negation
Turn Undead,Paladin,52,Nature,3,,,Disables
Windfury Totem,Shaman,52,Nature,3,The Totem Foundry,Shared template,Creating entities
Amplify Magic,Mage,54,Arcane,4,Amplify & Dampen,Verbatim clone,Defense boost
Arcane Explosion,Mage,54,Arcane,6,,,Damage
Blessing of Sacrifice,Paladin,54,Holy,2,The Status Boost Rack,Shared template,Damage
Chain Heal,Shaman,54,Nature,3,,,Healing & revival
Counterattack,Hunter,54,Physical,3,,,Disables
Demoralizing Shout,Warrior,54,Physical,5,,,Degradation
Drain Life,Warlock,54,Shadow,6,,,Resource warfare
Drain Mana,Warlock,54,Shadow,4,,,Resource warfare
Explosive Trap,Hunter,54,Fire,3,,,Role shift
Faerie Fire,Druid,54,Nature,4,,,Degradation
Faerie Fire (Feral),Druid,54,Nature,4,,,Degradation
Fire Blast,Mage,54,Fire,7,,,Damage
Frost Nova,Mage,54,Frost,4,,,Disables
Frost Resistance Totem,Shaman,54,Fire,3,The Totem Foundry,Shared template,Creating entities
Garrote,Rogue,54,Physical,6,The Affliction Engine,Shared engine,Damage
Hammer of Justice,Paladin,54,Holy,4,,,Disables
Hamstring,Warrior,54,Physical,3,,,Disables
Hellfire,Warlock,54,Fire,3,,,Damage
Howl of Terror,Warlock,54,Shadow,2,The Fear Franchise,Shared template,Disables
Rake,Druid,54,Physical,4,,,Damage
Rockbiter Weapon,Shaman,54,Nature,7,,,Offense boost
Shred,Druid,54,Physical,5,The Druid Costume Shop,Verbatim clone,Damage
Sinister Strike,Rogue,54,Physical,8,,,Damage
Slam,Warrior,54,Physical,4,,,Damage
Smite,Priest,54,Holy,8,The Bolt Engine,Shared engine,Damage
Soothe Animal,Druid,54,Nature,3,,,Degradation
Stoneskin Totem,Shaman,54,Nature,6,The Totem Foundry,Shared template,Creating entities
Swipe,Druid,54,Physical,5,,,Damage
Thorns,Druid,54,Nature,6,,,Defense boost
Wrath,Druid,54,Nature,8,The Bolt Engine,Shared engine,Damage
Arcane Brilliance,Mage,56,Arcane,1,The Status Boost Rack,Shared template,Offense boost
Arcane Intellect,Mage,56,Arcane,5,The Status Boost Rack,Shared template,Offense boost
Arcane Missiles,Mage,56,Arcane,8,,,Damage
Aspect of the Wild,Hunter,56,Nature,2,The Aspect Dial,Shared template,Role shift
Chain Lightning,Shaman,56,Nature,4,,,Damage
Create Firestone (Major),Warlock,56,Fire,1,The Conjured Commissary,Verbatim clone,Provisioning
Curse of Recklessness,Warlock,56,Shadow,4,The Curse Catalogue,Shared template,Degradation
Curse of Shadow,Warlock,56,Shadow,2,The Curse Catalogue,Shared template,Degradation
Execute,Warrior,56,Physical,5,,,Damage
Expose Armor,Rogue,56,Physical,5,,,Degradation
Fear,Warlock,56,Shadow,3,The Fear Franchise,Shared template,Disables
Flamestrike,Mage,56,Fire,6,,,Damage
Flametongue Weapon,Shaman,56,Fire,6,,,Offense boost
Flash Heal,Priest,56,Holy,7,"One Heal, Nine Names",Verbatim clone,Healing & revival
Frenzied Regeneration,Druid,56,Physical,3,,,Healing & revival
Frost Resistance Aura,Paladin,56,Holy,3,The Status Boost Rack,Shared template,Defense boost
Immolation Trap,Hunter,56,Fire,5,,,Role shift
Life Tap,Warlock,56,Shadow,6,,,Resource warfare
Lightning Bolt,Shaman,56,Nature,10,The Bolt Engine,Shared engine,Damage
Lightning Shield,Shaman,56,Nature,7,,,Defense boost
Magma Totem,Shaman,56,Fire,4,The Totem Foundry,Shared template,Creating entities
Mana Burn,Priest,56,Shadow,5,,,Resource warfare
Mana Spring Totem,Shaman,56,Frost,4,The Totem Foundry,Shared template,Creating entities
Mocking Blow,Warrior,56,Physical,5,,,Threat control
Pounce,Druid,56,Physical,3,,,Disables
Prayer of Shadow Protection,Priest,56,Holy,1,The Status Boost Rack,Shared template,Defense boost
Psychic Scream,Priest,56,Shadow,4,The Fear Franchise,Shared template,Disables
Raptor Strike,Hunter,56,Physical,8,,,Damage
Retribution Aura,Paladin,56,Holy,5,The Status Boost Rack,Shared template,Damage
Scorpid Poison,Hunter,56,Physical,4,,,Damage
Shadow Protection,Priest,56,Shadow,3,The Status Boost Rack,Shared template,Defense boost
Shadowburn,Warlock,56,Shadow,6,,,Damage
Soul Fire,Warlock,56,Fire,2,,,Damage
Viper Sting,Hunter,56,Nature,3,The Sting Clip,Verbatim clone,Resource warfare
Windwall Totem,Shaman,56,Nature,3,The Totem Foundry,Shared template,Creating entities
Ambush,Rogue,58,Physical,6,The Druid Costume Shop,Verbatim clone,Damage
Claw,Druid,58,Physical,5,,,Damage
Cone of Cold,Mage,58,Frost,5,,,Disables
Conjure Mana Ruby,Mage,58,Arcane,1,The Conjured Commissary,Verbatim clone,Provisioning
Create Healthstone (Major),Warlock,58,Shadow,1,The Conjured Commissary,Verbatim clone,Provisioning
Curse of Agony,Warlock,58,Shadow,5,The Curse Catalogue,Shared template,Degradation
Death Coil,Warlock,58,Shadow,3,,,Disables
Desperate Prayer,Priest,58,Holy,7,,,Healing & revival
Entangling Roots,Druid,58,Nature,6,,,Disables
Fire Resistance Totem,Shaman,58,Frost,3,The Totem Foundry,Shared template,Creating entities
Flametongue Totem,Shaman,58,Fire,4,The Totem Foundry,Shared template,Creating entities
Flash of Light,Paladin,58,Holy,7,"One Heal, Nine Names",Verbatim clone,Healing & revival
Frost Shock,Shaman,58,Frost,4,The Shock Battery,Verbatim clone,Damage
Frostbrand Weapon,Shaman,58,Frost,5,,,Offense boost
Hemorrhage,Rogue,58,Physical,3,,,Damage
Hibernate,Druid,58,Nature,3,,,Disables
Hunter's Mark,Hunter,58,Arcane,4,,,Deception & stealth
Ice Barrier,Mage,58,Frost,4,,,Defense boost
Kick,Rogue,58,Physical,4,The Interrupt Union,Verbatim clone,Negation
Mage Armor,Mage,58,Arcane,3,The Protection Rack,Shared template,Defense boost
Mana Tide Totem,Shaman,58,Frost,3,The Totem Foundry,Shared template,Creating entities
Maul,Druid,58,Physical,7,,,Damage
Mind Blast,Priest,58,Shadow,9,The Bolt Engine,Shared engine,Damage
Mind Control,Priest,58,Shadow,3,,,Disables
Mongoose Bite,Hunter,58,Physical,4,,,Damage
Moonfire,Druid,58,Arcane,10,The Affliction Engine,Shared engine,Damage
Nature's Grasp,Druid,58,Nature,6,,,Disables
Pummel,Warrior,58,Physical,2,The Interrupt Union,Verbatim clone,Negation
Rain of Fire,Warlock,58,Fire,4,,,Damage
Ravage,Druid,58,Physical,4,The Druid Costume Shop,Verbatim clone,Damage
Resurrection,Priest,58,Holy,5,The Resurrection Union,Verbatim clone,Healing & revival
Scorch,Mage,58,Fire,7,,,Damage
Seal of Righteousness,Paladin,58,Holy,8,The Seal Press,Shared template,Offense boost
Seal of Wisdom,Paladin,58,Holy,3,The Seal Press,Shared template,Offense boost
Searing Pain,Warlock,58,Fire,6,,,Damage
Shadow Word: Pain,Priest,58,Shadow,8,The Affliction Engine,Shared engine,Damage
Siphon Life,Warlock,58,Shadow,4,,,Resource warfare
Sprint,Rogue,58,Physical,3,,,Mobility
Starshards,Priest,58,Arcane,7,,,Damage
Stoneclaw Totem,Shaman,58,Nature,6,The Totem Foundry,Shared template,Creating entities
Subjugate Demon,Warlock,58,Shadow,3,,,Disables
Sunder Armor,Warrior,58,Physical,5,,,Degradation
Thunder Clap,Warrior,58,Physical,6,,,Damage
Volley,Hunter,58,Arcane,3,,,Damage
Ancestral Spirit,Shaman,60,Nature,5,The Resurrection Union,Verbatim clone,Healing & revival
Arcane Shot,Hunter,60,Arcane,8,,,Damage
Aspect of the Hawk,Hunter,60,Nature,7,The Aspect Dial,Shared template,Role shift
Backstab,Rogue,60,Physical,9,The Druid Costume Shop,Verbatim clone,Damage
Battle Shout,Warrior,60,Physical,7,,,Offense boost
Black Arrow,Hunter,60,Shadow,2,,,Disables
Blast Wave,Mage,60,Fire,5,,,Disables
Blessing of Light,Paladin,60,Holy,3,The Status Boost Rack,Shared template,Defense boost
Blessing of Might,Paladin,60,Holy,7,The Status Boost Rack,Shared template,Offense boost
Blessing of Wisdom,Paladin,60,Holy,6,The Status Boost Rack,Shared template,Provisioning
Blizzard,Mage,60,Frost,6,,,Damage
Bloodthirst,Warrior,60,Physical,4,,,Damage
Cleave,Warrior,60,Physical,5,,,Damage
Conflagrate,Warlock,60,Fire,4,,,Damage
Conjure Food,Mage,60,Arcane,7,The Conjured Commissary,Verbatim clone,Provisioning
Conjure Water,Mage,60,Arcane,7,The Conjured Commissary,Verbatim clone,Provisioning
Consecration,Paladin,60,Holy,5,,,Damage
Corruption,Warlock,60,Shadow,7,The Affliction Engine,Shared engine,Damage
Create Soulstone (Major),Warlock,60,Shadow,1,The Resurrection Union,Verbatim clone,Healing & revival
Create Spellstone (Major),Warlock,60,Shadow,1,The Conjured Commissary,Verbatim clone,Provisioning
Curse of Doom,Warlock,60,Shadow,1,The Curse Catalogue,Shared template,Degradation
Curse of the Elements,Warlock,60,Shadow,3,The Curse Catalogue,Shared template,Degradation
Dampen Magic,Mage,60,Arcane,5,Amplify & Dampen,Verbatim clone,Defense boost
Dark Pact,Warlock,60,Shadow,3,,,Provisioning
Demon Armor,Warlock,60,Shadow,5,The Protection Rack,Shared template,Defense boost
Devotion Aura,Paladin,60,Holy,7,The Status Boost Rack,Shared template,Utility & world
Devouring Plague,Priest,60,Shadow,6,,,Damage
Distracting Shot,Hunter,60,Arcane,6,,,Utility & world
Divine Spirit,Priest,60,Holy,4,The Status Boost Rack,Shared template,Offense boost
Earth Shock,Shaman,60,Nature,7,The Interrupt Union,Verbatim clone,Negation
Elune's Grace,Priest,60,Holy,5,,,Defense boost
Eviscerate,Rogue,60,Physical,9,,,Damage
Exorcism,Paladin,60,Holy,6,,,Damage
Fade,Priest,60,Shadow,6,,,Threat control
Feedback,Priest,60,Shadow,5,,,Damage
Feint,Rogue,60,Physical,5,The Druid Costume Shop,Verbatim clone,Threat control
Ferocious Bite,Druid,60,Physical,5,,,Damage
Fire Resistance Aura,Paladin,60,Holy,3,The Status Boost Rack,Shared template,Defense boost
Fire Ward,Mage,60,Fire,5,The Protection Rack,Shared template,Defense boost
Fireball,Mage,60,Fire,12,The Bolt Engine,Shared engine,Damage
Flame Shock,Shaman,60,Fire,6,The Shock Battery,Verbatim clone,Damage
Freezing Trap,Hunter,60,Frost,3,,,Role shift
Frost Ward,Mage,60,Frost,5,The Protection Rack,Shared template,Defense boost
Frostbolt,Mage,60,Frost,11,The Bolt Engine,Shared engine,Damage
Gift of the Wild,Druid,60,Nature,2,The Status Boost Rack,Shared template,Offense boost
Gouge,Rogue,60,Physical,5,,,Disables
Grace of Air Totem,Shaman,60,Nature,3,The Totem Foundry,Shared template,Creating entities
Greater Blessing of Kings,Paladin,60,Holy,1,,,Utility & world
Greater Blessing of Light,Paladin,60,Holy,1,,,Defense boost
Greater Blessing of Might,Paladin,60,Holy,2,,,Offense boost
Greater Blessing of Salvation,Paladin,60,Holy,1,,,Threat control
Greater Blessing of Sanctuary,Paladin,60,Holy,1,,,Degradation
Greater Blessing of Wisdom,Paladin,60,Holy,2,,,Provisioning
Greater Heal,Priest,60,Holy,5,"One Heal, Nine Names",Verbatim clone,Healing & revival
Hammer of Wrath,Paladin,60,Holy,3,,,Damage
Healing Stream Totem,Shaman,60,Frost,5,The Totem Foundry,Shared template,Creating entities
Healing Touch,Druid,60,Nature,11,"One Heal, Nine Names",Verbatim clone,Healing & revival
Healing Wave,Shaman,60,Nature,10,"One Heal, Nine Names",Verbatim clone,Healing & revival
Health Funnel,Warlock,60,Shadow,7,,,Companion upkeep
Heroic Strike,Warrior,60,Physical,9,,,Damage
Hex of Weakness,Priest,60,Shadow,6,,,Degradation
Holy Fire,Priest,60,Holy,8,The Bolt Engine,Shared engine,Damage
Holy Light,Paladin,60,Holy,9,"One Heal, Nine Names",Verbatim clone,Healing & revival
Holy Nova,Priest,60,Holy,6,,,Damage
Holy Wrath,Paladin,60,Holy,2,,,Damage
Hurricane,Druid,60,Nature,3,,,Damage
Ice Armor,Mage,60,Frost,4,The Protection Rack,Shared template,Defense boost
Immolate,Warlock,60,Fire,8,The Affliction Engine,Shared engine,Damage
Inner Fire,Priest,60,Holy,6,The Protection Rack,Shared template,Defense boost
Insect Swarm,Druid,60,Nature,5,,,Damage
Lesser Healing Wave,Shaman,60,Nature,6,"One Heal, Nine Names",Verbatim clone,Healing & revival
Lightning Breath,Hunter,60,Physical,6,,,Damage
Lightwell,Priest,60,Holy,3,,,Creating entities
Mana Shield,Mage,60,Arcane,6,,,Defense boost
Mark of the Wild,Druid,60,Nature,7,The Status Boost Rack,Shared template,Offense boost
Mend Pet,Hunter,60,Nature,7,,,Companion upkeep
Mind Flay,Priest,60,Shadow,6,,,Disables
Mortal Strike,Warrior,60,Physical,4,,,Damage
Multi-Shot,Hunter,60,Physical,5,,,Damage
Nature Resistance Totem,Shaman,60,Nature,3,The Totem Foundry,Shared template,Creating entities
Overpower,Warrior,60,Physical,4,,,Damage
Polymorph,Mage,60,Arcane,5,The Polymorph Barn,Verbatim clone,Disables
Polymorph: Cow,Mage,60,Arcane,1,The Polymorph Barn,Verbatim clone,Disables
Power Word: Fortitude,Priest,60,Holy,6,The Status Boost Rack,Shared template,Offense boost
Power Word: Shield,Priest,60,Holy,10,The Protection Rack,Shared template,Defense boost
Prayer of Fortitude,Priest,60,Holy,2,The Status Boost Rack,Shared template,Offense boost
Prayer of Healing,Priest,60,Holy,5,,,Healing & revival
Prayer of Spirit,Priest,60,Holy,1,The Status Boost Rack,Shared template,Offense boost
Prowl,Druid,60,Physical,3,The Druid Costume Shop,Verbatim clone,Deception & stealth
Pyroblast,Mage,60,Fire,8,The Bolt Engine,Shared engine,Damage
Rebirth,Druid,60,Nature,5,The Resurrection Union,Verbatim clone,Healing & revival
Redemption,Paladin,60,Holy,5,The Resurrection Union,Verbatim clone,Healing & revival
Regrowth,Druid,60,Nature,9,,,Healing & revival
Rejuvenation,Druid,60,Nature,11,,,Healing & revival
Rend,Warrior,60,Physical,7,The Affliction Engine,Shared engine,Damage
Renew,Priest,60,Holy,10,,,Healing & revival
Revenge,Warrior,60,Physical,6,,,Damage
Rip,Druid,60,Physical,6,,,Damage
