game,ability,purpose,assigned_by,family
D&D 5e SRD,Find Familiar,create,rule,
D&D 5e SRD,Find Steed,create,rule,
D&D 5e SRD,Find Traps,info,rule,
D&D 5e SRD,Find the Path,create,rule,
D&D 5e SRD,Finger of Death,damage,rule,
D&D 5e SRD,Fire Bolt,damage,family,The Damage Cantrip Engine
D&D 5e SRD,Fire Shield,defboost,rule,
D&D 5e SRD,Fire Storm,damage,rule,
D&D 5e SRD,Fireball,damage,family,The Elemental Blast Template
D&D 5e SRD,Flame Blade,damage,rule,
D&D 5e SRD,Flame Strike,damage,family,The Elemental Blast Template
D&D 5e SRD,Flaming Sphere,create,family,The Phantom Armory
D&D 5e SRD,Flesh to Stone,disable,rule,
D&D 5e SRD,Floating Disk,utility,fallback,
D&D 5e SRD,Fly,mobility,family,The Touch-Buff Skeleton
D&D 5e SRD,Fog Cloud,utility,fallback,
D&D 5e SRD,Forbiddance,negation,rule,
D&D 5e SRD,Forcecage,negation,rule,
D&D 5e SRD,Foresight,degrade,rule,
D&D 5e SRD,Freedom of Movement,disable,rule,
D&D 5e SRD,Freezing Sphere,damage,rule,
D&D 5e SRD,Gaseous Form,disable,rule,
D&D 5e SRD,Gate,mobility,rule,
D&D 5e SRD,Geas,negation,rule,
D&D 5e SRD,Gentle Repose,defboost,rule,
D&D 5e SRD,Giant Insect,utility,fallback,
D&D 5e SRD,Glibness,stealth,override,
D&D 5e SRD,Globe of Invulnerability,zone,rule,
D&D 5e SRD,Glyph of Warding,create,rule,
D&D 5e SRD,Goodberry,provision,override,
D&D 5e SRD,Grease,zone,rule,
D&D 5e SRD,Greater Invisibility,stealth,family,The Invisibility Ladder
D&D 5e SRD,Greater Restoration,disable,rule,
D&D 5e SRD,Guardian of Faith,stealth,rule,
D&D 5e SRD,Guards and Wards,negation,rule,
D&D 5e SRD,Guidance,offboost,family,Guidance & Resistance
D&D 5e SRD,Guiding Bolt,offboost,rule,
D&D 5e SRD,Gust of Wind,defboost,rule,
D&D 5e SRD,Hallow,zone,rule,
D&D 5e SRD,Hallucinatory Terrain,provision,rule,
D&D 5e SRD,Harm,damage,rule,
D&D 5e SRD,Haste,offboost,override,
D&D 5e SRD,Heal,heal,rule,
D&D 5e SRD,Healing Word,heal,family,The Cure Family
D&D 5e SRD,Heat Metal,provision,rule,
D&D 5e SRD,Hellish Rebuke,damage,family,The Elemental Blast Template
D&D 5e SRD,Heroes' Feast,utility,fallback,
D&D 5e SRD,Heroism,utility,fallback,
D&D 5e SRD,Hideous Laughter,disable,rule,
D&D 5e SRD,Hold Monster,disable,family,The Hold Pair
D&D 5e SRD,Hold Person,disable,family,The Hold Pair
D&D 5e SRD,Holy Aura,disable,rule,
D&D 5e SRD,Hunter's Mark,damage,rule,
D&D 5e SRD,Hypnotic Pattern,disable,rule,
D&D 5e SRD,Ice Storm,damage,family,The Elemental Blast Template
D&D 5e SRD,Identify,info,rule,
D&D 5e SRD,Illusory Script,negation,rule,
D&D 5e SRD,Imprisonment,negation,rule,
D&D 5e SRD,Incendiary Cloud,damage,rule,
D&D 5e SRD,Inflict Wounds,damage,rule,
D&D 5e SRD,Insect Plague,damage,rule,
D&D 5e SRD,Instant Summons,negation,rule,
D&D 5e SRD,Invisibility,stealth,family,The Invisibility Ladder
D&D 5e SRD,Irresistible Dance,disable,rule,
D&D 5e SRD,Jump,mobility,rule,
D&D 5e SRD,Knock,disable,rule,
D&D 5e SRD,Legend Lore,utility,fallback,
D&D 5e SRD,Lesser Restoration,disable,rule,
D&D 5e SRD,Levitate,mobility,rule,
D&D 5e SRD,Light,utility,override,
D&D 5e SRD,Lightning Bolt,damage,family,The Elemental Blast Template
D&D 5e SRD,Locate Animals or Plants,info,family,The Locate Series
D&D 5e SRD,Locate Creature,info,family,The Locate Series
D&D 5e SRD,Locate Object,info,family,The Locate Series
D&D 5e SRD,Longstrider,mobility,family,The Touch-Buff Skeleton
D&D 5e SRD,Mage Armor,utility,fallback,
D&D 5e SRD,Mage Hand,stealth,rule,
D&D 5e SRD,Magic Circle,disable,rule,
D&D 5e SRD,Magic Jar,info,rule,
D&D 5e SRD,Magic Missile,damage,override,
D&D 5e SRD,Magic Mouth,stealth,rule,
D&D 5e SRD,Magic Weapon,offboost,rule,
D&D 5e SRD,Magnificent Mansion,mobility,rule,
D&D 5e SRD,Major Image,stealth,family,The Image Ladder
D&D 5e SRD,Mass Cure Wounds,heal,family,The Cure Family
D&D 5e SRD,Mass Heal,heal,rule,
D&D 5e SRD,Mass Healing Word,heal,family,The Cure Family
D&D 5e SRD,Mass Suggestion,disable,family,The Suggestion Pair
D&D 5e SRD,Maze,remove,rule,
D&D 5e SRD,Meld Into Stone,disable,rule,
D&D 5e SRD,Mending,damage,rule,
D&D 5e SRD,Message,zone,rule,
D&D 5e SRD,Meteor Swarm,damage,rule,
D&D 5e SRD,Mind Blank,disable,rule,
D&D 5e SRD,Minor Illusion,stealth,rule,
D&D 5e SRD,Mirage Arcane,stealth,rule,
D&D 5e SRD,Mirror Image,stealth,rule,
D&D 5e SRD,Mislead,disable,rule,
D&D 5e SRD,Misty Step,mobility,rule,
D&D 5e SRD,Modify Memory,negation,rule,
D&D 5e SRD,Moonbeam,damage,rule,
D&D 5e SRD,Move Earth,degrade,rule,
D&D 5e SRD,Nondetection,stealth,rule,
D&D 5e SRD,Pass Without Trace,disable,rule,
D&D 5e SRD,Passwall,utility,fallback,
D&D 5e SRD,Phantasmal Killer,disable,rule,
D&D 5e SRD,Phantom Steed,stealth,rule,
D&D 5e SRD,Planar Ally,create,family,Conjure a Champion
D&D 5e SRD,Planar Binding,create,rule,
D&D 5e SRD,Plane Shift,remove,rule,
D&D 5e SRD,Plant Growth,utility,fallback,
D&D 5e SRD,Poison Spray,damage,family,The Damage Cantrip Engine
D&D 5e SRD,Polymorph,disable,override,The Polymorph Ladder
D&D 5e SRD,Power Word Kill,utility,fallback,
D&D 5e SRD,Power Word Stun,disable,rule,
D&D 5e SRD,Prayer of Healing,heal,family,The Cure Family
D&D 5e SRD,Prestidigitation,utility,override,
D&D 5e SRD,Prismatic Spray,remove,rule,
D&D 5e SRD,Prismatic Wall,remove,rule,
D&D 5e SRD,Private Sanctum,zone,rule,
D&D 5e SRD,Produce Flame,damage,rule,
D&D 5e SRD,Programmed Illusion,stealth,rule,
D&D 5e SRD,Project Image,disable,rule,
D&D 5e SRD,Protection From Energy,defboost,family,The Protection Series
D&D 5e SRD,Protection from Evil and Good,defboost,family,The Protection Series
D&D 5e SRD,Protection from Poison,defboost,family,The Protection Series
D&D 5e SRD,Purify Food and Drink,negation,rule,
D&D 5e SRD,Raise Dead,heal,override,
D&D 5e SRD,Ray of Enfeeblement,defboost,rule,
D&D 5e SRD,Ray of Frost,damage,family,The Damage Cantrip Engine
D&D 5e SRD,Regenerate,heal,rule,
D&D 5e SRD,Reincarnate,heal,override,
D&D 5e SRD,Remove Curse,negation,rule,
D&D 5e SRD,Resilient Sphere,zone,rule,
D&D 5e SRD,Resistance,offboost,family,Guidance & Resistance
D&D 5e SRD,Resurrection,heal,override,
D&D 5e SRD,Reverse Gravity,defboost,rule,
D&D 5e SRD,Revivify,heal,override,
D&D 5e SRD,Rope Trick,stealth,rule,
D&D 5e SRD,Sacred Flame,damage,family,The Damage Cantrip Engine
D&D 5e SRD,Sanctuary,defboost,rule,
D&D 5e SRD,Scorching Ray,damage,rule,
D&D 5e SRD,Scrying,create,rule,
D&D 5e SRD,Secret Chest,stealth,rule,
D&D 5e SRD,See Invisibility,stealth,rule,
D&D 5e SRD,Seeming,stealth,family,The Disguise Ladder
D&D 5e SRD,Sending,create,rule,
D&D 5e SRD,Sequester,stealth,rule,
D&D 5e SRD,Shapechange,disable,rule,
D&D 5e SRD,Shatter,damage,rule,
D&D 5e SRD,Shield,zone,rule,
D&D 5e SRD,Shield of Faith,defboost,rule,
D&D 5e SRD,Shillelagh,offboost,override,
D&D 5e SRD,Shocking Grasp,damage,family,The Damage Cantrip Engine
D&D 5e SRD,Silence,disable,override,
D&D 5e SRD,Silent Image,stealth,family,The Image Ladder
D&D 5e SRD,Simulacrum,stealth,rule,
D&D 5e SRD,Sleep,disable,override,The Hit-Point Pool Engine
D&D 5e SRD,Sleet Storm,disable,rule,
D&D 5e SRD,Slow,disable,rule,
D&D 5e SRD,Spare the Dying,heal,override,
D&D 5e SRD,Speak with Animals,info,family,The Speak-With Series
D&D 5e SRD,Speak with Dead,info,family,The Speak-With Series
D&D 5e SRD,Speak with Plants,info,family,The Speak-With Series
D&D 5e SRD,Spider Climb,mobility,family,The Touch-Buff Skeleton
D&D 5e SRD,Spike Growth,stealth,rule,
D&D 5e SRD,Spirit Guardians,defboost,rule,
D&D 5e SRD,Spiritual Weapon,create,override,The Phantom Armory
D&D 5e SRD,Stinking Cloud,utility,fallback,
D&D 5e SRD,Stone Shape,utility,fallback,
D&D 5e SRD,Stoneskin,defboost,rule,
D&D 5e SRD,Storm of Vengeance,damage,rule,
D&D 5e SRD,Suggestion,disable,family,The Suggestion Pair
D&D 5e SRD,Sunbeam,disable,rule,
D&D 5e SRD,Sunburst,negation,rule,
D&D 5e SRD,Symbol,disable,rule,
D&D 5e SRD,Telekinesis,disable,rule,
D&D 5e SRD,Telepathic Bond,roleshift,rule,
D&D 5e SRD,Teleport,create,rule,
D&D 5e SRD,Teleportation Circle,mobility,rule,
D&D 5e SRD,Thaumaturgy,utility,fallback,
D&D 5e SRD,Thunderwave,damage,rule,
D&D 5e SRD,Time Stop,utility,fallback,
D&D 5e SRD,Tiny Hut,defboost,override,
D&D 5e SRD,Tongues,utility,fallback,
D&D 5e SRD,Transport via Plants,roleshift,rule,
D&D 5e SRD,Tree Stride,utility,fallback,
D&D 5e SRD,True Polymorph,disable,family,The Polymorph Ladder
D&D 5e SRD,True Resurrection,heal,rule,
D&D 5e SRD,True Seeing,info,rule,
D&D 5e SRD,True Strike,utility,fallback,
D&D 5e SRD,Unseen Servant,create,family,The Phantom Armory
D&D 5e SRD,Vampiric Touch,heal,rule,
D&D 5e SRD,Vicious Mockery,offboost,rule,
D&D 5e SRD,Wall of Fire,zone,rule,
D&D 5e SRD,Wall of Force,negation,rule,
D&D 5e SRD,Wall of Ice,zone,rule,
D&D 5e SRD,Wall of Stone,negation,rule,
D&D 5e SRD,Wall of Thorns,zone,rule,
D&D 5e SRD,Warding Bond,defboost,rule,
D&D 5e SRD,Water Breathing,mobility,family,The Touch-Buff Skeleton
D&D 5e SRD,Water Walk,mobility,family,The Touch-Buff Skeleton
D&D 5e SRD,Web,zone,override,
D&D 5e SRD,Weird,disable,rule,
D&D 5e SRD,Wind Walk,disable,rule,
D&D 5e SRD,Wind Wall,zone,rule,
D&D 5e SRD,Wish,heal,rule,
D&D 5e SRD,Word of Recall,mobility,override,
D&D 5e SRD,Zone of Truth,utility,fallback,
Baldur's Gate 3,Melf's Acid Arrow,damage,rule,
Baldur's Gate 3,Acid Splash,damage,family,The Damage Cantrip Engine
Baldur's Gate 3,Chain Lightning,mobility,rule,
Baldur's Gate 3,Chromatic Orb,zone,rule,
Baldur's Gate 3,Disintegrate,damage,rule,
Baldur's Gate 3,Eldritch Blast,damage,override,The Damage Cantrip Engine
Baldur's Gate 3,Ensnaring Strike,create,rule,
Baldur's Gate 3,Fire Bolt,damage,family,The Damage Cantrip Engine
Baldur's Gate 3,Fireball,damage,family,The Elemental Blast Template
Baldur's Gate 3,Guiding Bolt,offboost,rule,
Baldur's Gate 3,Hail of Thorns,damage,rule,
Baldur's Gate 3,Ice Knife,damage,rule,
Baldur's Gate 3,Lightning Arrow,defboost,rule,
Baldur's Gate 3,Magic Missile,damage,override,
Baldur's Gate 3,Poison Spray,damage,family,The Damage Cantrip Engine
Baldur's Gate 3,Ray of Enfeeblement,degrade,rule,
Baldur's Gate 3,Ray of Frost,damage,family,The Damage Cantrip Engine
Baldur's Gate 3,Ray of Sickness,damage,rule,
Baldur's Gate 3,Scorching Ray,damage,rule,
Baldur's Gate 3,Banishing Smite,damage,family,The Smite Armoury
Baldur's Gate 3,Witch Bolt,damage,rule,
Baldur's Gate 3,Aid,defboost,override,
Baldur's Gate 3,Armour of Agathys,utility,fallback,
Baldur's Gate 3,Arms of Hadar,damage,rule,
Baldur's Gate 3,Warden of Vitality,heal,rule,
Baldur's Gate 3,Beacon of Hope,heal,rule,
Baldur's Gate 3,Blade Ward,defboost,rule,
Baldur's Gate 3,Blink,mobility,override,
Baldur's Gate 3,Blur,degrade,rule,
Baldur's Gate 3,Crusader's Mantle,offboost,override,
Baldur's Gate 3,Destructive Wave,disable,rule,
Baldur's Gate 3,Detect Thoughts,info,rule,
Baldur's Gate 3,Disguise Self,stealth,rule,
Baldur's Gate 3,Dispel Evil And Good,negation,rule,
Baldur's Gate 3,Divine Favour,utility,fallback,
Baldur's Gate 3,Expeditious Retreat,mobility,rule,
Baldur's Gate 3,False Life,utility,fallback,
Baldur's Gate 3,Feather Fall,mobility,family,The Touch-Buff Skeleton
Baldur's Gate 3,Fire Shield,defboost,rule,
Baldur's Gate 3,Flame Blade,utility,fallback,
Baldur's Gate 3,Mass Healing Word,heal,family,The Cure Family
Baldur's Gate 3,Hellish Rebuke,offboost,rule,
Baldur's Gate 3,Heroes' Feast,utility,fallback,
Baldur's Gate 3,Mirror Image,stealth,rule,
Baldur's Gate 3,Pass Without Trace,disable,rule,
Baldur's Gate 3,Prayer of Healing,heal,family,The Cure Family
Baldur's Gate 3,Produce Flame,utility,fallback,
Baldur's Gate 3,See Invisibility,stealth,rule,
Baldur's Gate 3,Shadow Blade,create,override,
Baldur's Gate 3,Shield,defboost,family,The Duplicate SKUs
Baldur's Gate 3,Shillelagh,offboost,override,
Baldur's Gate 3,Speak with Animals,info,rule,
Baldur's Gate 3,Spirit Guardians,mobility,rule,
Baldur's Gate 3,Thaumaturgy,utility,fallback,
Baldur's Gate 3,Wind Walk,roleshift,rule,
Baldur's Gate 3,Animal Friendship,disable,family,The Charm Pair
Baldur's Gate 3,Animate Dead,create,family,The Summoning Contract
Baldur's Gate 3,Arcane Lock,utility,fallback,
Baldur's Gate 3,Bane,offboost,family,Bane & Bless
Baldur's Gate 3,Banishment,remove,override,
Baldur's Gate 3,Barkskin,defboost,family,The Armour-Class Wardrobe
Baldur's Gate 3,Bestow Curse,damage,rule,
Baldur's Gate 3,Evard's Black Tentacles,zone,family,The Surface Engine
Baldur's Gate 3,Bless,offboost,family,Bane & Bless
Baldur's Gate 3,Blight,damage,rule,
Baldur's Gate 3,Blindness,disable,rule,
Baldur's Gate 3,Booming Blade,damage,rule,
Baldur's Gate 3,Bursting Sinew,damage,rule,
Baldur's Gate 3,Call Lightning,damage,rule,
Baldur's Gate 3,Calm Emotions,disable,rule,
Baldur's Gate 3,Charm Person,disable,family,The Charm Pair
Baldur's Gate 3,Bone Chill,damage,family,The Damage Cantrip Engine
Baldur's Gate 3,Circle of Death,damage,family,The Elemental Blast Template
Baldur's Gate 3,Cloud of Daggers,damage,rule,
Baldur's Gate 3,Cloudkill,zone,family,The Surface Engine
Baldur's Gate 3,Command,disable,rule,
Baldur's Gate 3,Compelled Duel,threat,override,
Baldur's Gate 3,Confusion,disable,rule,
Baldur's Gate 3,Conjure Elemental,create,family,The Summoning Contract
Baldur's Gate 3,Conjure Minor Elemental,create,family,The Summoning Contract
Baldur's Gate 3,Conjure Woodland Being,zone,rule,
Baldur's Gate 3,Contagion,utility,fallback,
Baldur's Gate 3,Counterspell,negation,override,
Baldur's Gate 3,Create or Destroy Water,utility,fallback,
Baldur's Gate 3,Create Undead,create,rule,
Baldur's Gate 3,Crown of Madness,utility,fallback,
Baldur's Gate 3,Cure Wounds,heal,family,The Cure Family
Baldur's Gate 3,Mass Cure Wounds,heal,family,The Cure Family
Baldur's Gate 3,Dancing Lights,utility,override,
Baldur's Gate 3,Darkness,defboost,family,The Duplicate SKUs
Baldur's Gate 3,Eyes of the Dark: Darkness,defboost,family,The Duplicate SKUs
Baldur's Gate 3,Darkvision,mobility,family,The Touch-Buff Skeleton
Baldur's Gate 3,Daylight,negation,rule,
Baldur's Gate 3,Death Ward,defboost,rule,
Baldur's Gate 3,Dissonant Whispers,disable,rule,
Baldur's Gate 3,Dominate Beast,disable,family,The Dominate Pair
Baldur's Gate 3,Dominate Person,disable,family,The Dominate Pair
Baldur's Gate 3,Elemental Weapon,offboost,rule,
Baldur's Gate 3,Enhance Ability,utility,fallback,
Baldur's Gate 3,Enlarge/Reduce,damage,rule,
Baldur's Gate 3,Entangle,zone,family,The Surface Engine
Baldur's Gate 3,Enthrall,utility,fallback,
Baldur's Gate 3,Eyebite,disable,rule,
Baldur's Gate 3,Faerie Fire,utility,fallback,
Baldur's Gate 3,Feign Death,threat,rule,
Baldur's Gate 3,Find Familiar,create,family,The Summoning Contract
Baldur's Gate 3,Flame Strike,damage,family,The Elemental Blast Template
Baldur's Gate 3,Flaming Sphere,create,family,The Summoning Contract
Baldur's Gate 3,Flesh to Stone,disable,rule,
Baldur's Gate 3,Grant Flight,mobility,family,The Touch-Buff Skeleton
Baldur's Gate 3,Fog Cloud,zone,family,The Surface Engine
Baldur's Gate 3,Freedom of Movement,mobility,family,The Touch-Buff Skeleton
Baldur's Gate 3,Otiluke's Freezing Sphere,damage,rule,
Baldur's Gate 3,Friends,utility,fallback,
Baldur's Gate 3,Gaseous Form,roleshift,rule,
Baldur's Gate 3,Globe of Invulnerability,zone,rule,
Baldur's Gate 3,Glyph of Warding,utility,fallback,
Baldur's Gate 3,Goodberry,provision,override,
Baldur's Gate 3,Grasping Vine,create,rule,
Baldur's Gate 3,Grease,zone,family,The Surface Engine
Baldur's Gate 3,Greater Restoration,negation,family,The Cleanse Counter
Baldur's Gate 3,Guardian of Faith,damage,rule,
Baldur's Gate 3,Guidance,offboost,family,Guidance & Resistance
Baldur's Gate 3,Harm,damage,rule,
Baldur's Gate 3,Haste,offboost,override,
Baldur's Gate 3,Heal,heal,rule,
Baldur's Gate 3,Healing Word,heal,family,The Cure Family
Baldur's Gate 3,Heat Metal,degrade,rule,
Baldur's Gate 3,Heroism,utility,fallback,
Baldur's Gate 3,Hex,disable,rule,
Baldur's Gate 3,Tasha's Hideous Laughter,disable,rule,
Baldur's Gate 3,Hold Monster,disable,family,The Hold Pair
Baldur's Gate 3,Hold Person,disable,family,The Hold Pair
Baldur's Gate 3,Hunger of Hadar,disable,rule,
Baldur's Gate 3,Hunter's Mark,damage,rule,
Baldur's Gate 3,Hypnotic Pattern,disable,rule,
Baldur's Gate 3,Ice Storm,damage,family,The Elemental Blast Template
Baldur's Gate 3,Inflict Wounds,damage,rule,
Baldur's Gate 3,Insect Plague,damage,rule,
Baldur's Gate 3,Invisibility,stealth,family,The Invisibility Ladder
Baldur's Gate 3,Greater Invisibility,stealth,family,The Invisibility Ladder
Baldur's Gate 3,Otto's Irresistible Dance,offboost,rule,
Baldur's Gate 3,Enhance Leap,mobility,family,The Touch-Buff Skeleton
Baldur's Gate 3,Knock,disable,rule,
Baldur's Gate 3,Lesser Restoration,negation,family,The Cleanse Counter
Baldur's Gate 3,Light,utility,override,
Baldur's Gate 3,Longstrider,mobility,family,The Touch-Buff Skeleton
Baldur's Gate 3,Mage Armour,defboost,family,The Armour-Class Wardrobe
Baldur's Gate 3,Mage Hand,create,rule,
Baldur's Gate 3,Magic Weapon,offboost,rule,
Baldur's Gate 3,Minor Illusion,stealth,rule,
Baldur's Gate 3,Misty Step,mobility,family,The Blink Ladder
Baldur's Gate 3,Moonbeam,damage,rule,
Baldur's Gate 3,Phantasmal Force,damage,rule,
Baldur's Gate 3,Phantasmal Killer,disable,rule,
Baldur's Gate 3,Planar Ally,create,family,The Summoning Contract
Baldur's Gate 3,Planar Binding,utility,fallback,
Baldur's Gate 3,Plant Growth,zone,family,The Surface Engine
Baldur's Gate 3,Polymorph,disable,override,
Baldur's Gate 3,Protection from Energy,defboost,rule,
Baldur's Gate 3,Protection from Evil and Good,defboost,rule,
Baldur's Gate 3,Protection from Poison,negation,family,The Cleanse Counter
Baldur's Gate 3,Remove Curse,negation,family,The Cleanse Counter
Baldur's Gate 3,Otiluke's Resilient Sphere,damage,rule,
Baldur's Gate 3,Resistance,offboost,family,Guidance & Resistance
Baldur's Gate 3,Sacred Flame,damage,family,The Damage Cantrip Engine
Baldur's Gate 3,Sanctuary,damage,rule,
Baldur's Gate 3,Seeming,stealth,rule,
Baldur's Gate 3,Shatter,damage,rule,
Baldur's Gate 3,Shield of Faith,defboost,family,The Armour-Class Wardrobe
Baldur's Gate 3,Shocking Grasp,damage,family,The Damage Cantrip Engine
Baldur's Gate 3,Silence,disable,override,
Baldur's Gate 3,Sleep,disable,override,The Hit-Point Pool Engine
Baldur's Gate 3,Sleet Storm,zone,family,The Surface Engine
Baldur's Gate 3,Slow,disable,rule,
Baldur's Gate 3,Blinding Smite,damage,family,The Smite Armoury
Baldur's Gate 3,Branding Smite,damage,family,The Smite Armoury
Baldur's Gate 3,Searing Smite,damage,family,The Smite Armoury
Baldur's Gate 3,Thunderous Smite,damage,family,The Smite Armoury
Baldur's Gate 3,Wrathful Smite,damage,family,The Smite Armoury
Baldur's Gate 3,Speak with Dead,utility,fallback,
Baldur's Gate 3,Spike Growth,zone,family,The Surface Engine
Baldur's Gate 3,Spiritual Weapon,create,override,The Summoning Contract
Baldur's Gate 3,Staggering Smite,damage,family,The Smite Armoury
Baldur's Gate 3,Stinking Cloud,zone,family,The Surface Engine
Baldur's Gate 3,Stoneskin,defboost,rule,
Baldur's Gate 3,Thorn Whip,damage,family,The Damage Cantrip Engine
Baldur's Gate 3,Toll the Dead,damage,rule,
Baldur's Gate 3,True Strike,offboost,rule,
Baldur's Gate 3,Vampiric Touch,heal,rule,
Baldur's Gate 3,Vicious Mockery,offboost,rule,
Baldur's Gate 3,Warding Bond,defboost,rule,
Baldur's Gate 3,Web,zone,override,The Surface Engine
